"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,"LinSolIter",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" , "Avg_TotalPress" ,"Avg_TotalPress(inlet_air)","Avg_TotalPress(outlet)"
          0,           0,           0,-1.303736061188445,-0.8760982174864818,-17.27277504315057,-3.406506467253914, 1.590423899731529,           5,-4.019889591167138,               2,-5.409125185479857,             499.1,                          0,                   499.1
          0,           0,           1, -1.45412237353072,-0.9372558373701301,-2.054365789391861, -3.49227963067464, 1.505038398242778,           5, -3.15244454911357,               3,-6.052831904008169,             499.1,                          0,                   499.1
          0,           0,           2,-1.582663879302012,-0.9925538815311308,-1.766389897348598,-3.567732590273121, 1.429606109266248,           5,-2.427215989018956,               4,-5.757418664350689,             499.1,                          0,                   499.1
          0,           0,           3,-1.702936799108647, -1.08833513142633,-1.567469432932431,-3.629566812488272, 1.367775537843969,           5,-4.281262397338971,               3,-6.558535695974306, 499.1000000000001,                          0,       499.1000000000001
          0,           0,           4,-1.720120016527118,-1.103041893650239,-1.519592171461468,-3.641694705310348, 1.356051376336629,           5,-3.279399449343097,               3,-5.552031370373135,             499.1,                          0,                   499.1
          0,           0,           5,-1.747118364309199,-1.135394099823576,-1.572419385450589,-3.599846354769005, 1.400553029492763,           5,-2.409464914769036,               3,-5.006327604463903, 499.0999999999993,                          0,       499.0999999999993
          0,           0,           6, -1.59808539987237,-1.142956661804318,-1.634582304434511,-3.685940385145187, 1.312675248487103,           5,-4.345140988164886,               2,-5.117792761629425, 499.0999999999992,                          0,       499.0999999999992
          0,           0,           7,-1.576700475113182,-1.187442112199917,-1.168363703612334,-3.701235348547663, 1.296886401222554,           5,-3.470931217390675,               3,-6.058600203389943, 499.0999999999979,                          0,       499.0999999999979
          0,           0,           8,-1.742021761586346,-1.238222100942768,-1.644693782962029,-3.672496963268196, 1.327496060311731,           5,-2.435061438047023,               3,-5.741815305182192, 499.0999999999323,                          0,       499.0999999999323
          0,           0,           9,-1.686295987974381,-1.237220811080348,-1.593222357532208,-3.698247638979394, 1.300303340798002,           5,-4.492452342310019,               2, -5.83098185916027, 499.0999999999159,                          0,       499.0999999999159
          0,           0,          10,-1.695807495719559,-1.281817227139836,  -1.2233709350606,-3.696617075076002, 1.300285223610582,           5,-3.605219452337764,               2,-5.251715281859577, 499.0999999998317,                          0,       499.0999999998317
          0,           0,          11,-2.000602517833401,-1.338080460433953,-1.481756548891987,-3.669587199263174, 1.327051068531077,           5, -2.56028849735589,               3,-5.548144293028941,  499.099999997887,                          0,        499.099999997887
          0,           0,          12,-2.000819072375196,-1.354746548388934,-1.516952868144978,-3.678808789922372, 1.318962948879844,           5,-4.566291986604056,               2,-5.456193266547382, 499.0999999974408,                          0,       499.0999999974408
          0,           0,          13,-1.946209508710313,-1.377650558700356,-1.398536898135964,-3.665946965026196, 1.331970317262236,           5,-3.613058547651113,               3,-6.207899530331997, 499.0999999954149,                          0,       499.0999999954149
          0,           0,          14,-1.993110302065503, -1.39510179145003,-1.589878347606889,-3.616766185919001, 1.381592823985403,           5,-2.589026986618849,               3,-5.124538489046366, 499.0999999643196,                          0,       499.0999999643196
          0,           0,          15,-1.719481729085194,-1.280791406820932, -1.72611148110199,-3.663116702984484, 1.333986120454384,           5,-4.635568639231973,               2,-5.205598275354187, 499.0999999574681,                          0,       499.0999999574681
          0,           0,          16,-1.684035014243963,-1.359792011172822,  -1.2350951896883,-3.676875180877968, 1.319245181302637,           5,-3.722318317627074,               3,-6.084139651496511, 499.0999999282777,                          0,       499.0999999282777
          0,           0,          17,-1.915267786853936,-1.456067926575034,-1.871042595907771,-3.685970725840118, 1.315473880517664,           5,-2.501780369624121,               3,-5.219277618074083, 499.0999996070963,                          0,       499.0999996070963
          0,           0,          18,-1.851560703326483,-1.409154542963473,-1.840653387184411, -3.70440083624197, 1.291478551196032,           5, -4.46221759177911,               2,-5.165850951857284, 499.0999995400609,                          0,       499.0999995400609
          0,           0,          19,-1.856469275135628,-1.477201211893383,-1.415234575537589,-3.708001169889607, 1.284495356937714,           5,-3.594217084345109,               3,-6.113454548519375, 499.0999992706948,                          0,       499.0999992706948
          0,           0,          20,-2.136913392636429,-1.564594902611744,-1.766321382066076,-3.728079157687392, 1.267167089723751,           5,-2.483603806561054,               3,-5.276572837494004, 499.0999968453744,                          0,       499.0999968453744
          0,           0,          21,-2.198733652059687,-1.610433557305644,-1.783138429313979,-3.745684614105775, 1.251267326292901,           5,-4.257194907022903,               2,-5.196827390940675, 499.0999963571622,                          0,       499.0999963571622
          0,           0,          22, -2.22873971134086,-1.636943969067375,-1.705215912350538,-3.743629941693342, 1.253309026179286,           5,-3.314878725993515,               3,-6.157688864475624, 499.0999945067665,                          0,       499.0999945067665
          0,           0,          23,-2.413601560754823,-1.673549660951638,-1.860745275804316,-3.717437061890033, 1.282276973707191,           5,-2.342161252388461,               3,-5.411569574461837, 499.0999801745349,                          0,       499.0999801745349
          0,           0,          24,-2.281069333097099,-1.675853808245816,-1.973093858379285,-3.761153219725035,  1.23772965857726,           5,-4.105356775787067,               2,-5.236182062047147, 499.0999773388026,                          0,       499.0999773388026
          0,           0,          25,-2.256628498482507, -1.71998241000643,-1.771726662193103,-3.767048913086224, 1.231845245522686,           5,-3.159245692368102,               3,-6.238687501605018, 499.0999671553475,                          0,       499.0999671553475
          0,           0,          26,-2.454609981753973,-1.756015711100777,-2.063217611318029,-3.754452186331526, 1.246087949671913,           5,-2.151078191328542,               3,-5.436653175080884, 499.0998989873654,                          0,       499.0998989873654
          0,           0,          27,-2.406539001440736,-1.748454261500709, -2.14009346333359,-3.773408914069049, 1.225414143981872,           5,-3.926010062387949,               2,-5.278879171967896, 499.0998858235749,                          0,       499.0998858235749
          0,           0,          28,-2.409619397083115,-1.777299047499616,-1.933209603269842,-3.775621495289038, 1.222768920335628,           5,-2.963145484264282,               3,-6.262316137409659,  499.099840543076,                          0,        499.099840543076
          0,           0,          29,-2.678354246974551,-1.793961837627776,-2.170049628006425,-3.776403892764592, 1.222297496747208,           5, -2.86925094044997,               3,-6.262889090513566, 499.0997764059292,                          0,       499.0997764059292
          0,           0,          30,-2.781315980574891, -1.79581961151284,-2.200752487109878,-3.778483527236974, 1.220199450457555,           5,-3.812276560070402,               2,-5.290298189567756, 499.0997451236751,                          0,       499.0997451236751
          0,           0,          31,-2.831760570870553,-1.798058653300359,-2.206465726165284,-3.776517584230272, 1.222113889262188,           5,-2.829955362753888,               3,-6.260132018254527, 499.0996411702322,                          0,       499.0996411702322
          0,           0,          32,-2.940937686289026, -1.79791696330866,-2.251765137697063,-3.778455930666543, 1.220195666375441,           5, -3.77947042815483,               2,-5.296038569942858, 499.0995905418119,                          0,       499.0995905418119
          0,           0,          33,-2.964828762025764,-1.797084370919427,-2.271485455251316,-3.776567597235777, 1.222055200670255,           5,-2.799323406258781,               3,-6.256522450194328, 499.0994240008959,                          0,       499.0994240008959
          0,           0,          34,-2.920561598696292,-1.793865479411718,-2.340143292254507,-3.778716843712447, 1.220042890778257,           5,-3.757007993116323,               2,-5.304115973067319, 499.0993431262188,                          0,       499.0993431262188
          0,           0,          35,-2.876407097587103,-1.794043482449075,-2.346039895104681,-3.778049216745687, 1.220774573360864,           5,-2.779138979064902,               3,-6.249351990417789, 499.0990797486223,                          0,       499.0990797486223
          0,           0,          36,-2.834266985403397,-1.792846167640176,-2.460486912348115,-3.780856429448622, 1.218052539778234,           5,-3.738810083850216,               2,-5.312842128176305, 499.0989524228686,                          0,       499.0989524228686
          0,           0,          37,-2.808816690153346,-1.794784409246718,-2.441937482554228,-3.781930744886583, 1.217045391885914,           5,-2.762713000594166,               3,-6.235622657942146, 499.0985421527307,                          0,       499.0985421527307
          0,           0,          38,-2.798748409549575,-1.796989931871185,-2.584122697946407, -3.78538528980612, 1.213586541320369,           5, -3.72308197415814,               2,-5.320105159138626, 499.0983447866111,                          0,       499.0983447866111
          0,           0,          39,-2.794555476650211,-1.800635654532262,-2.505307930916147,-3.788030767708918, 1.210975898512728,           5, -2.74980538141598,               3,-6.221013901796388, 499.0977150556132,                          0,       499.0977150556132
          0,           0,          40,-2.823339406173972, -1.80649605090844,-2.649901266852069, -3.79180299438995, 1.207135079620868,           5,-3.708698442714495,               2,-5.323071670334925, 499.0974142494438,                          0,       499.0974142494438
          0,           0,          41,-2.838700280185751,-1.810975429628556,-2.562352194745301,-3.795168875447048, 1.203761935513922,           5,-2.736990936701039,               3,-6.198491702362811, 499.0964651445275,                          0,       499.0964651445275
          0,           0,          42,-2.891020530580178,-1.818771028317369, -2.65555137312753,-3.798940696754074, 1.199918492237045,           5,-3.696919333765657,               2,-5.314992482166383,  499.096015338618,                          0,        499.096015338618
          0,           0,          43,-2.919005034222777,-1.823256820980514,-2.596106094307977,-3.802138068719072, 1.196692979894086,           5, -2.72579884476365,               3,-6.170354218857401, 499.0946106048536,                          0,       499.0946106048536
          0,           0,          44,-2.981484973648519,-1.831527548532513,-2.635932092574969,-3.805745377474632, 1.193052168777337,           5,-3.688458905274832,               2,-5.298153183079506, 499.0939499534771,                          0,       499.0939499534771
          0,           0,          45,-3.011882107981092,-1.835699047010872,-2.607930296000704,-3.808324269276813, 1.190451612168493,           5,-2.718430631364005,               3,-6.139991770880014, 499.0919064330703,                          0,       499.0919064330703
          0,           0,          46,-3.060129096116324,-1.843590862186656,-2.621864885385888,-3.811717552612393, 1.187064463017451,           5,-3.683746564295727,               2,-5.276928759217739, 499.0909525119896,                          0,       499.0909525119896
          0,           0,          47,-3.075897558034601,-1.847470933584399,-2.608062659548013,-3.813623021555241, 1.185157156789204,           5,-2.715031868602301,               3,-6.110331611029204, 499.0880288554161,                          0,       499.0880288554161
          0,           0,          48,-3.090871114842799,-1.854806637304284,-2.621099750435675,-3.816773149433629, 1.182032057831518,           5,-3.681675399356624,               2,-5.256020335417539, 499.0866741928216,                          0,       499.0866741928216
          0,           0,          49,-3.088844285391701, -1.85852792168135,-2.607580146521061,-3.818120967005837, 1.180700642917883,           5,-2.714067937961938,               3,-6.083422464756351, 499.0825594751616,                          0,       499.0825594751616
          0,           0,          50,-3.089076707009632, -1.86544045991026,-2.628569075827548,-3.820990750352941,  1.17785697485697,           5,-3.680682193029136,               2,-5.238593820881611, 499.0806673367465,                          0,       499.0806673367465
          0,           0,          51,-3.085308542087204, -1.86904804173279,-2.610811633144168,-3.821899085598175, 1.176977287590165,           5,-2.713881531543451,               3,-6.060146808953915, 499.0749705626616,                          0,       499.0749705626616
          0,           0,          52,-3.095245358433139,-1.875593433206764, -2.63588188348492,-3.824475868778728, 1.174422812927776,           5, -3.67978201972076,               2,-5.225630028380381, 499.0723714063359,                          0,       499.0723714063359
          0,           0,          53,-3.100413466636918,-1.878985173314319,-2.616966814525883,-3.825037575098761, 1.173898394242847,           5,-2.713600904540662,               3,-6.041116032728975, 499.0646116620226,                          0,       499.0646116620226
          0,           0,          54,-3.124970589509989,-1.884975770969033,-2.639050245718268,-3.827347775290682, 1.171609666142196,           5,-3.678619934757183,               2,-5.217374783360174, 499.0610998985366,                          0,       499.0610998985366
          0,           0,          55,-3.137974529102118,-1.888001339076451,-2.625299873440387,-3.827663154978566, 1.171339524969142,           5,-2.712843076194133,               3,-6.025286153473746, 499.0507024225445,                          0,       499.0507024225445
          0,           0,          56,-3.169177191223554,-1.893187020978798,-2.645099681399053,-3.829770124909024, 1.169256487989283,           5, -3.67752151613566,               2,-5.211182324708128, 499.0460379027468,                          0,       499.0460379027468
          0,           0,          57,-3.184348343150667,-1.895730674560255,-2.637693109389582,-3.829950820490811, 1.169127417773181,           5,-2.711025444388903,               3,-6.010821408305883, 499.0323357801414,                          0,       499.0323357801414
          0,           0,          58,-3.212383534535791,-1.899980913869565,-2.656607660166754,-3.831926712541962, 1.167177809541259,           5,-3.676472627043188,               2,-5.205891166310534,  499.026243471963,                          0,        499.026243471963
          0,           0,          59,-3.224306826659746,-1.902038691903961,-2.653493229532922,-3.832096485278762, 1.167063017405116,           5,-2.708907035196015,               3,-5.997025338371887, 499.0084784296798,                          0,       499.0084784296798
          0,           0,          60,-3.243414954147884,-1.905445750652538,-2.673667375486788,-3.834013969254591, 1.165171107415823,           5,-3.675828365563912,               2,-5.200791825584201, 499.0006512664505,                          0,       499.0006512664505
          0,           0,          61, -3.24970438175688,-1.907123000076838,-2.672407850674864,-3.834385467178787, 1.164858827817534,           5,-2.707129428659642,               3,-5.983295636849713, 498.9779840467268,                          0,       498.9779840467268
          0,           0,          62,-3.260112250693748,-1.909998779173605,-2.695804959924494,-3.836360064947736, 1.162908580238907,           5,-3.675645023812697,               2,-5.195165560712125, 498.9680893274304,                          0,       498.9680893274304
          0,           0,          63,-3.262481523848971,-1.911439106034304,-2.693774840716919,-3.836880849189937, 1.162446076632312,           5,-2.705912514568091,               3,-5.969964211258169, 498.9396163345424,                          0,       498.9396163345424
          0,           0,          64,-3.269871219935385,-1.913996234725255,-2.720471013662333, -3.83886619002349, 1.160477782819166,           5, -3.67591534596164,               2,-5.189833863626309, 498.9273045137906,                          0,       498.9273045137906
          0,           0,          65, -3.27139904408206,-1.915373404644725,-2.717303031152143, -3.83954168351731, 1.159850452488945,           5, -2.70529080564577,               3,-5.957215399324734, 498.8920862339224,                          0,       498.8920862339224
          0,           0,          66,-3.280869633123882,-1.917997732093119,-2.747140616590458,-3.841559064234592, 1.157839821631804,           5,-3.676547471084821,               2,-5.184147591814897, 498.8770071622789,                          0,       498.8770071622789
          0,           0,          67,-3.284240153642356, -1.91943583981548,-2.743133853302834,-3.842371100335465,  1.15706302242848,           5,-2.704560815652037,               3, -5.94442965130226, 498.8341065517416,                          0,       498.8341065517416
          0,           0,          68,-3.297617684374481,-1.922259916897671, -2.77371500629154,-3.844408497158267, 1.155024643254841,           5,-3.677401404384313,               2,-5.177772289453134, 498.8159226130372,                          0,       498.8159226130372
          0,           0,          69, -3.30329265208056,-1.923769076010076,-2.769641104821158,-3.845298496099804,  1.15415985980724,           5,-2.704094705842795,               3, -5.93150441820689, 498.7644350787549,                          0,       498.7644350787549
          0,           0,          70,-3.319116928016459,-1.926782437190021,-2.798523740186855, -3.84733146333831, 1.152122691141019,           5,-3.678813107820327,               2,-5.170493699593512, 498.7428339944603,                          0,       498.7428339944603
